,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type
3,1.0,448.0,1.0,0.011970460414886476,"[[On]] an ugly baseline, the Spurs deal did little to [[change]] that picture. THE FINAL [[SCORE]] Temple made nine threes in the first quarter and came close to doubling its game - high [[run]]. [[The]] Hawks pulled within eight points at the end of regulation, then went on a [[21]] - 4 run to seize a 53 - 46 lead. Temple's lead [[shrunk]] to only four on a jumper by Johnson with 1 : 21 to play in the first quarter. The Hawks took the [[lead]] by three in the first quarter, 66 - [[62]] on Johnson's layup with 5 : 04 to play, and outscored Temple seven - to - [[two]] in the period. [[At]] the time of the halftime [[score]], Temple had more points ( 66 ) than Goldenberg ( 55 ). Goldenberg, center [[Markel]] [[Brown]] and others had plenty of action, but left the game in the second quarter with [[2]] : 36 to play after sustaining an",0.0,0.5027602314949036,"[[along]] an ugly baseline, the Spurs deal did little to [[do]] that picture. THE FINAL [[score]] Temple made nine threes in the first quarter and came close to doubling its game - high [[lead]]. [[this]] Hawks pulled within eight points at the end of regulation, then went on a [[7]] - 4 run to seize a 53 - 46 lead. Temple's lead [[narrowed]] to only four on a jumper by Johnson with 1 : 21 to play in the first quarter. The Hawks took the [[bait]] by three in the first quarter, 66 - [[55]] on Johnson's layup with 5 : 04 to play, and outscored Temple seven - to - [[one]] in the period. [[along]] the time of the halftime [[mark]], Temple had more points ( 66 ) than Goldenberg ( 55 ). Goldenberg, center [[will]] [[brown]] and others had plenty of action, but left the game in the second quarter with [[1]] : 36 to play after sustaining an",Successful
5,1.0,328.0,1.0,0.004971206188201904,"[[One]] of the guys, Wendell, he says he's 50 years old, but he has not the slightest hint of injury. [[We]] pulled him out of his jacket and showed him that he was not wearing a [[single]] coat of Black Bears. It could not be [[fixed]] so soon after the Troika postponed the Sochi Winter Olympics and the scramble for funds. [[That's]] what sent a chill through the fan base. "" Basically, I got the car and went in some fast traffic but wanted a decent walk and wasn't feeling up to battling all the fast planes, "" he says. So Wendell [[picked]] up a picnic basket and, seated on his left when the snacks [[came]] on, gave it a sharp tap to [[get]] the of the windshield. "" [[It]] was okay. [[My]] limited vision was okay. [[But]] when I hit the baggage lot on my way to the airport in Moscow the next day and put the basket under my arms and",0.0,0.5197380185127258,"[[one]] of the guys, Wendell, he says he's 50 years old, but he has not the slightest hint of injury. [[we]] pulled him out of his jacket and showed him that he was not wearing a [[long]] coat of Black Bears. It could not be [[been]] so soon after the Troika postponed the Sochi Winter Olympics and the scramble for funds. [[imagine]] what sent a chill through the fan base. "" Basically, I got the car and went in some fast traffic but wanted a decent walk and wasn't feeling up to battling all the fast planes, "" he says. So Wendell [[plucked]] up a picnic basket and, seated on his left when the snacks [[looked]] on, gave it a sharp tap to [[clear]] the of the windshield. "" [[it]] was okay. [[i]] limited vision was okay. [[plus]] when I hit the baggage lot on my way to the airport in Moscow the next day and put the basket under my arms and",Successful
10,1.0,166.0,1.0,0.0043906569480896,"[[When]] he left 11 years ago, he said, the actor waited until after the fifth season to take a book his friend arranged for him : The Pennsatucky Loves Me by Eugene O'Neill. "" I called him and he was kind of upset, "" Jim Ward told the Sun. "" He said,'You'll hate this but you had to do it, so I'm telling you, it's no good, you have to do it.'He'd gone into the kitchen on Saturday. "" [[Image]] copyright Getty Images Image caption [[James]] said he thought too much of his own character In the science fiction series "" Watchmen "", by Alan Moore and Dave Gibbons, the protagonist is imprisoned for a crime he didn't commit, which has his face "" incise in the incision of history "" just like his school - and this was one of the mysteries [[Jim]] Ward explored. When he was at school in the",0.0,0.6657021045684814,"[[when]] he left 11 years ago, he said, the actor waited until after the fifth season to take a book his friend arranged for him : The Pennsatucky Loves Me by Eugene O'Neill. "" I called him and he was kind of upset, "" Jim Ward told the Sun. "" He said,'You'll hate this but you had to do it, so I'm telling you, it's no good, you have to do it.'He'd gone into the kitchen on Saturday. "" [[image]] copyright Getty Images Image caption [[kenneth]] said he thought too much of his own character In the science fiction series "" Watchmen "", by Alan Moore and Dave Gibbons, the protagonist is imprisoned for a crime he didn't commit, which has his face "" incise in the incision of history "" just like his school - and this was one of the mysteries [[jim]] Ward explored. When he was at school in the",Successful
11,1.0,274.0,1.0,0.004196226596832275,"Thousands of millions of years ago, the Earth warmed up, creating tectonic plate boundaries and [[shifting]] major [[continent]], which later shifted the boat around a bit. About 400 million years ago, the planet cooled down once again. [[The]] giant scale water changes what we see on the surface of the planet. They also push the continent into the ocean, eliminating the sea life. [[As]] a result, coral reefs have nearly disappeared around the world. "" [[The]] expansion and contraction of the poles is controlled by the [[polar]] ice caps causing polar melt. Today, polar ice caps are maintained by the greenhouse effect, which traps part of the sun's radiation just below the surface, but the amount of heat trapped in the water changes with each year. The warmer water causes the glaciers to reduce in volume and pull more snow and ice towards the poles. As a result, you get more ice on the ocean floor and in the continental crust. That's why there is so much",0.0,0.5259840488433838,"Thousands of millions of years ago, the Earth warmed up, creating tectonic plate boundaries and [[melting]] major [[continents]], which later shifted the boat around a bit. About 400 million years ago, the planet cooled down once again. [[there]] giant scale water changes what we see on the surface of the planet. They also push the continent into the ocean, eliminating the sea life. [[so]] a result, coral reefs have nearly disappeared around the world. "" [[all]] expansion and contraction of the poles is controlled by the [[huge]] ice caps causing polar melt. Today, polar ice caps are maintained by the greenhouse effect, which traps part of the sun's radiation just below the surface, but the amount of heat trapped in the water changes with each year. The warmer water causes the glaciers to reduce in volume and pull more snow and ice towards the poles. As a result, you get more ice on the ocean floor and in the continental crust. That's why there is so much",Successful
12,1.0,249.0,1.0,0.004338562488555908,"[[Abstracts]] Tylenol ® 1 % Tylenol 4 % Injection AH Aloe & Multi Protein Cleanser ( water, alcohol, [[alcohol]], preservative, fermentation and electrolytes ) Vinyl Boa. 44 DE ( CV / AHA / BHA, benzoyl peroxide / [[ethylhexyl]] [[laurate]] ; salt, gypsum ) Active with anti - aging review Quinine BP 4 % Five - Minute Effects Organic Antioxidant All - Natural and Organic [[Carnauba]] Wax * Floral Oil B / O Sodium C14 - 16 Oleic Acid Olive Oil Citric Acid / Stearic Acid Rosemary Extract Guar Gum & Aloe Vera Gel Pampering Gel Multi - Active PABA LEAFY MOISTURIZER General Active USG : 1 % One - Min",0.0,0.5029122829437256,"[[alcohol]] Tylenol ® 1 % Tylenol 4 % Injection AH Aloe & Multi Protein Cleanser ( water, alcohol, [[petrol]], preservative, fermentation and electrolytes ) Vinyl Boa. 44 DE ( CV / AHA / BHA, benzoyl peroxide / [[ch]] [[coa]] ; salt, gypsum ) Active with anti - aging review Quinine BP 4 % Five - Minute Effects Organic Antioxidant All - Natural and Organic [[wine]] Wax * Floral Oil B / O Sodium C14 - 16 Oleic Acid Olive Oil Citric Acid / Stearic Acid Rosemary Extract Guar Gum & Aloe Vera Gel Pampering Gel Multi - Active PABA LEAFY MOISTURIZER General Active USG : 1 % One - Min",Successful
16,1.0,200.0,1.0,0.12036293745040895,"As Councilman Ling said, the gap is more like two - thirds of an inch or so. That is not a problem with the poll. The format is a reverse landscape. All candidates for Illinois Senate are on the ballot, but Hillary Clinton, Donald Trump and Bernie Sanders are not. That means that candidates who raise a lot of money can use their hundreds of thousands of dollars to purchase a significant amount of advertising time that limits what other candidates have to spend on ads. Sanders had to spend more than $ 1 million on ads over the course of a few months because Sanders raised nearly $ 35 million. Trump received the highest amount of ad money after the Iowa caucuses, with more than $ 1. 7 million, but his 22 million shares of Trump Victory — [[Trump's]] super PAC — spent $ [[274]], [[000]] with it. Clinton, in contrast, has virtually none of the money he is spending to [[buy]] ads on her behalf. [[When]] [[Trump]]",0.0,0.5230441689491272,"As Councilman Ling said, the gap is more like two - thirds of an inch or so. That is not a problem with the poll. The format is a reverse landscape. All candidates for Illinois Senate are on the ballot, but Hillary Clinton, Donald Trump and Bernie Sanders are not. That means that candidates who raise a lot of money can use their hundreds of thousands of dollars to purchase a significant amount of advertising time that limits what other candidates have to spend on ads. Sanders had to spend more than $ 1 million on ads over the course of a few months because Sanders raised nearly $ 35 million. Trump received the highest amount of ad money after the Iowa caucuses, with more than $ 1. 7 million, but his 22 million shares of Trump Victory — [[clinton]] super PAC — spent $ [[350]], [[million]] with it. Clinton, in contrast, has virtually none of the money he is spending to [[purchase]] ads on her behalf. [[absolutely]] [[trump]]",Successful
23,1.0,335.0,1.0,0.0003325939178466797,"[[We've]] seen in the media and in at the polls, often in the [[1990s]], year 2000, when children's education was being eroded, we [[kept]] focussing on the protection of children under the Safe Schools [[Program]] which we all had issues with, let's not sing the [[praises]] of the Liberal government, but [[would]] have kept in [[place]]. "" [[Labor]] and Greens increase pressure on Turnbull Shadow Education [[Minister]] Chris [[Bowen]] [[said]] he was not surprised at the [[announcement]]. "" Malcolm Turnbull has repeatedly stated that school attendance is the greatest failing in New [[Zealand]], so we have been wondering about why the Prime Minister did not include the subject in the diary of his G20'go [[around'to]] Japan, "" he said. "" He was not asked. [[It]] should be included but he will have to address the issue of insecurity of [[workplace]] based on gender identity in his speech. "" Greens education [[spokeswoman]] Liz Saville Roberts said it was a failure",0.0,0.5780951380729675,"[[i]] seen in the media and in at the polls, often in the [[2000s]], year 2000, when children's education was being eroded, we [[went]] focussing on the protection of children under the Safe Schools [[program]] which we all had issues with, let's not sing the [[praise]] of the Liberal government, but [[please]] have kept in [[mind]]. "" [[labor]] and Greens increase pressure on Turnbull Shadow Education [[sir]] Chris [[bowen]] [[told]] he was not surprised at the [[news]]. "" Malcolm Turnbull has repeatedly stated that school attendance is the greatest failing in New [[zealand]], so we have been wondering about why the Prime Minister did not include the subject in the diary of his G20'go [[tae]] Japan, "" he said. "" He was not asked. [[we]] should be included but he will have to address the issue of insecurity of [[employment]] based on gender identity in his speech. "" Greens education [[mp]] Liz Saville Roberts said it was a failure",Successful
24,1.0,359.0,1.0,0.03435814380645752,"Introduction The IUPAC Reviewer Register ( FIR ) is the documentation that describes the [[following]] : The history of the IUPAC Recommendations. Includes all the inventors and financial grantees. IUPAC [[members]] countries. Includes all FRA countries. IUPAC contributor countries and all member [[countries]]. [[The]] IUPAC Standards Committee. It constitutes the solution for IUPAC [[member]] countries that do not have their own Standards Council. IUPAC processing, validation, and adjudication [[environment]]. It includes all IUPAC processes, including peer review, penalty - [[based]] resolution, prejudgment reviews and disputes, and filer reviews and auditing. Test Registry Requirements, including the 2008 and 2020 grades, and the "" objective requirements. "" Each of the IUPAC member countries has a [[separate]] rating system for their membership, and is [[currently]] marked by a TN - 20 - 1 in the IUP",0.0,0.5054534673690796,"Introduction The IUPAC Reviewer Register ( FIR ) is the documentation that describes the [[purposes]] : The history of the IUPAC Recommendations. Includes all the inventors and financial grantees. IUPAC [[eu]] countries. Includes all FRA countries. IUPAC contributor countries and all member [[eu]]. [[the]] IUPAC Standards Committee. It constitutes the solution for IUPAC [[membership]] countries that do not have their own Standards Council. IUPAC processing, validation, and adjudication [[functions]]. It includes all IUPAC processes, including peer review, penalty - [[term]] resolution, prejudgment reviews and disputes, and filer reviews and auditing. Test Registry Requirements, including the 2008 and 2020 grades, and the "" objective requirements. "" Each of the IUPAC member countries has a [[distinctive]] rating system for their membership, and is [[traditionally]] marked by a TN - 20 - 1 in the IUP",Successful
25,1.0,252.0,1.0,0.12696009874343872,"A JUNE Issue 340 ( 1 ), 30 pp ( 2004 ) I am back again from my 22 week cruise on the GSC HSC It is important, to answer your questions with the hope that everyone's view will be allowed to be taken into consideration. To achieve this, I ask people to form a jury, consisting of up to 14 [[people]], and myself as Assistant [[Editor]], to decide the final conclusions. Please [[see]] the HSC [[Articlepage]] on Google Scholar to access the article. [[The]] HSC was formed after I was not allowed to vote. Although I could not add a person to the jury, I did not weigh the 16 points raised in our Arbitration Decisions on behalf of each contributor. Thus, I am not able to give you a final answer on whether we reached an accord or not. But I would also like to point out the seriousness of the situation. In fact, I could have done this on",0.0,0.6409893035888672,"A JUNE Issue 340 ( 1 ), 30 pp ( 2004 ) I am back again from my 22 week cruise on the GSC HSC It is important, to answer your questions with the hope that everyone's view will be allowed to be taken into consideration. To achieve this, I ask people to form a jury, consisting of up to 14 [[contributors]], and myself as Assistant [[editor]], to decide the final conclusions. Please [[utilize]] the HSC [[view]] on Google Scholar to access the article. [[each]] HSC was formed after I was not allowed to vote. Although I could not add a person to the jury, I did not weigh the 16 points raised in our Arbitration Decisions on behalf of each contributor. Thus, I am not able to give you a final answer on whether we reached an accord or not. But I would also like to point out the seriousness of the situation. In fact, I could have done this on",Successful
26,1.0,268.0,1.0,0.08315986394882202,"889. Animal centre staff [[immediately]] dispatched to the scene found little evidence of the animal, but it had unusual bite marks. "" [[I]] [[could]] smell the dog and hear its snoring outside, "" Mr [[Smith]] told 3AW radio. Ms Millington told [[Nine]] News : "" [[Our]] residents help a lot, but the expectation is that they wouldn't be doing that in their homes. "" It's just shocking. "" Cadbury Beach, via 123rf. [[com]]. au Katsena and Maggie Moose's baby son Yannick was among two dogs taken from their home. The other one is estimated to be [[10]] months old. Mr Moose told the Herald Sun he was worried how the dog would cope with living near four [[young]] kids. "" [[He]] likes to sit and scratch. [[My]] son Rylan likes him, too, but he's now [[nine]] months old so he's not going to have as big a play session, """,0.0,0.6228623390197754,"889. Animal centre staff [[quickly]] dispatched to the scene found little evidence of the animal, but it had unusual bite marks. "" [[she]] [[i]] smell the dog and hear its snoring outside, "" Mr [[smith]] told 3AW radio. Ms Millington told [[ten]] News : "" [[our]] residents help a lot, but the expectation is that they wouldn't be doing that in their homes. "" It's just shocking. "" Cadbury Beach, via 123rf. [[rev]]. au Katsena and Maggie Moose's baby son Yannick was among two dogs taken from their home. The other one is estimated to be [[9]] months old. Mr Moose told the Herald Sun he was worried how the dog would cope with living near four [[unwanted]] kids. "" [[he]] likes to sit and scratch. [[i]] son Rylan likes him, too, but he's now [[9]] months old so he's not going to have as big a play session, """,Successful
27,1.0,165.0,1.0,0.4197279810905457,"Sources and Background Conservatives and Republicans currently have about 44 percent of the vote in Nevada. The Democrat ( Democrat - leaning ) caucus will be February 28, 2016. The Democratic primary in 2010 turned into a "" rocky "" race in part because of the overwhelming approval of [[Clinton]]. In 2006 and 2008, Nevada Democrats were content with the much smaller lead the Republican was giving Senator Barack Obama. Then in 2012, Bernie Sanders won the nomination largely on the strength of his appeal to young voters. If the 2016 primary was a coronation of one single candidate, it would be Senator Sanders of Vermont. But because of the contentious disputes inside the campaign between the party's liberal and moderate wings, Sanders could be crushed. That would effectively bring the entire caucus process to a halt. The 2012 Democratic Caucus in Nevada produced a caucus winner by Nola Vasquez. And this year's candidate is nothing to laugh at. From the Globe and Mail, "" His electoral odds",0.0,0.8114432096481323,"Sources and Background Conservatives and Republicans currently have about 44 percent of the vote in Nevada. The Democrat ( Democrat - leaning ) caucus will be February 28, 2016. The Democratic primary in 2010 turned into a "" rocky "" race in part because of the overwhelming approval of [[clinton]]. In 2006 and 2008, Nevada Democrats were content with the much smaller lead the Republican was giving Senator Barack Obama. Then in 2012, Bernie Sanders won the nomination largely on the strength of his appeal to young voters. If the 2016 primary was a coronation of one single candidate, it would be Senator Sanders of Vermont. But because of the contentious disputes inside the campaign between the party's liberal and moderate wings, Sanders could be crushed. That would effectively bring the entire caucus process to a halt. The 2012 Democratic Caucus in Nevada produced a caucus winner by Nola Vasquez. And this year's candidate is nothing to laugh at. From the Globe and Mail, "" His electoral odds",Successful
28,1.0,168.0,1.0,0.05103713274002075,"[[TN]] : Shadowrun®, Shadowrun® Second Editions, Shadowrun Returns, Shadowrun Online, Shadowrun Paranoia, Shadowrun Core Rulebook, Shadowrun : [UNK], Shadowrun : [UNK], Shadowrun : [UNK], Shadowrun : Second [UNK], Shadowrun : [UNK], Shadows of the Social Network, Seattle, Run! ( RPG ), Serious Game Dark magic on Mars seems to have survived for centuries thanks to a charismatic benefactor of the El Dorado Commonwealth. New investors regularly check into the luxury complex he founded just out of view, making it much more attractive than the Sea Nymph. If you're looking for a Western science fiction setting? Here's a great new setting, check out DGREnderworld. If you're a fan of He - Man vs. The Machine? Here's a new Simulant Hero that's coming along way ahead of the rest of",0.0,0.6347845196723938,"[[setting]] : Shadowrun®, Shadowrun® Second Editions, Shadowrun Returns, Shadowrun Online, Shadowrun Paranoia, Shadowrun Core Rulebook, Shadowrun : [UNK], Shadowrun : [UNK], Shadowrun : [UNK], Shadowrun : Second [UNK], Shadowrun : [UNK], Shadows of the Social Network, Seattle, Run! ( RPG ), Serious Game Dark magic on Mars seems to have survived for centuries thanks to a charismatic benefactor of the El Dorado Commonwealth. New investors regularly check into the luxury complex he founded just out of view, making it much more attractive than the Sea Nymph. If you're looking for a Western science fiction setting? Here's a great new setting, check out DGREnderworld. If you're a fan of He - Man vs. The Machine? Here's a new Simulant Hero that's coming along way ahead of the rest of",Successful
