,ground_truth_output,num_queries,original_output,original_score,original_text,perturbed_output,perturbed_score,perturbed_text,result_type
3,1.0,172.0,1.0,0.23784422874450686,"[[On]] an ugly baseline, the Spurs deal did little to change that picture. THE FINAL SCORE Temple made nine threes in the first quarter and came close to doubling its game - high run. The Hawks pulled within eight points at the end of regulation, then went on a 21 - 4 run to seize a 53 - 46 lead. Temple's lead shrunk to only four on a jumper by Johnson with 1 : 21 to play in the first quarter. The Hawks took the lead by three in the first quarter, 66 - 62 on Johnson's layup with 5 : 04 to play, and outscored Temple seven - to - two in the period. At the time of the halftime score, Temple had more points ( 66 ) than Goldenberg ( 55 ). Goldenberg, center Markel Brown and others had plenty of action, but left the game in the second quarter with 2 : 36 to play after sustaining an",0.0,0.7404353618621826,"[[besides]] an ugly baseline, the Spurs deal did little to change that picture. THE FINAL SCORE Temple made nine threes in the first quarter and came close to doubling its game - high run. The Hawks pulled within eight points at the end of regulation, then went on a 21 - 4 run to seize a 53 - 46 lead. Temple's lead shrunk to only four on a jumper by Johnson with 1 : 21 to play in the first quarter. The Hawks took the lead by three in the first quarter, 66 - 62 on Johnson's layup with 5 : 04 to play, and outscored Temple seven - to - two in the period. At the time of the halftime score, Temple had more points ( 66 ) than Goldenberg ( 55 ). Goldenberg, center Markel Brown and others had plenty of action, but left the game in the second quarter with 2 : 36 to play after sustaining an",Successful
5,1.0,370.0,1.0,0.02519595623016357,"One of the guys, Wendell, he says he's 50 years old, but he has not the slightest hint of injury. We [[pulled]] him out of his jacket and showed him that he was not wearing a [[single]] coat of Black Bears. It could not be fixed so soon after the Troika postponed the Sochi Winter Olympics and the scramble for funds. [[That's]] what sent a chill through the fan base. "" Basically, I [[got]] the car and went in some fast traffic but wanted a decent walk and wasn't feeling up to battling all the fast planes, "" he says. So Wendell [[picked]] up a picnic basket and, seated on his left when the snacks came on, gave it a sharp tap to [[get]] the of the windshield. "" It was okay. [[My]] limited vision was okay. But when I [[hit]] the baggage lot on my way to the airport in Moscow the next day and put the basket under my arms and",0.0,0.522374153137207,"One of the guys, Wendell, he says he's 50 years old, but he has not the slightest hint of injury. We [[tugged]] him out of his jacket and showed him that he was not wearing a [[thick]] coat of Black Bears. It could not be fixed so soon after the Troika postponed the Sochi Winter Olympics and the scramble for funds. [[was]] what sent a chill through the fan base. "" Basically, I [[fixed]] the car and went in some fast traffic but wanted a decent walk and wasn't feeling up to battling all the fast planes, "" he says. So Wendell [[hoisted]] up a picnic basket and, seated on his left when the snacks came on, gave it a sharp tap to [[clear]] the of the windshield. "" It was okay. [[i]] limited vision was okay. But when I [[rounded]] the baggage lot on my way to the airport in Moscow the next day and put the basket under my arms and",Successful
10,1.0,166.0,1.0,0.22371184825897214,"When he left 11 years ago, he said, the actor waited until after the fifth season to take a book his friend arranged for him : The Pennsatucky Loves Me by Eugene O'Neill. "" I called him and he was kind of upset, "" Jim Ward told the Sun. "" He said,'You'll hate this but you had to do it, so I'm telling you, it's no good, you have to do it.'[[He'd]] gone into the kitchen on Saturday. "" Image copyright Getty Images Image caption James said he thought too much of his own character In the science fiction series "" Watchmen "", by Alan Moore and Dave Gibbons, the protagonist is imprisoned for a crime he didn't commit, which has his face "" incise in the incision of history "" just like his school - and this was one of the mysteries Jim Ward explored. When he was at school in the",0.0,0.5287643671035767,"When he left 11 years ago, he said, the actor waited until after the fifth season to take a book his friend arranged for him : The Pennsatucky Loves Me by Eugene O'Neill. "" I called him and he was kind of upset, "" Jim Ward told the Sun. "" He said,'You'll hate this but you had to do it, so I'm telling you, it's no good, you have to do it.'[[dave]] gone into the kitchen on Saturday. "" Image copyright Getty Images Image caption James said he thought too much of his own character In the science fiction series "" Watchmen "", by Alan Moore and Dave Gibbons, the protagonist is imprisoned for a crime he didn't commit, which has his face "" incise in the incision of history "" just like his school - and this was one of the mysteries Jim Ward explored. When he was at school in the",Successful
11,1.0,217.0,1.0,0.0391201376914978,"Thousands of millions of years ago, the Earth warmed up, creating tectonic plate boundaries and shifting major [[continent]], which later shifted the boat around a bit. About 400 million years ago, the planet cooled down once again. [[The]] giant scale water changes what we see on the surface of the planet. They also push the continent into the ocean, eliminating the sea life. As a result, coral reefs have nearly disappeared around the world. "" The expansion and contraction of the poles is controlled by the [[polar]] ice caps causing polar melt. Today, polar ice caps are maintained by the greenhouse effect, which traps part of the sun's radiation just below the surface, but the amount of heat trapped in the water changes with each year. The warmer water causes the glaciers to reduce in volume and pull more snow and ice towards the poles. As a result, you get more ice on the ocean floor and in the continental crust. That's why there is so much",0.0,0.5472607016563416,"Thousands of millions of years ago, the Earth warmed up, creating tectonic plate boundaries and shifting major [[continents]], which later shifted the boat around a bit. About 400 million years ago, the planet cooled down once again. [[there]] giant scale water changes what we see on the surface of the planet. They also push the continent into the ocean, eliminating the sea life. As a result, coral reefs have nearly disappeared around the world. "" The expansion and contraction of the poles is controlled by the [[huge]] ice caps causing polar melt. Today, polar ice caps are maintained by the greenhouse effect, which traps part of the sun's radiation just below the surface, but the amount of heat trapped in the water changes with each year. The warmer water causes the glaciers to reduce in volume and pull more snow and ice towards the poles. As a result, you get more ice on the ocean floor and in the continental crust. That's why there is so much",Successful
12,1.0,132.0,1.0,0.4188595414161682,"Abstracts Tylenol ® 1 % Tylenol 4 % Injection AH Aloe & Multi Protein Cleanser ( water, alcohol, [[alcohol]], preservative, fermentation and electrolytes ) Vinyl Boa. 44 DE ( CV / AHA / BHA, benzoyl peroxide / ethylhexyl laurate ; salt, gypsum ) Active with anti - aging review Quinine BP 4 % Five - Minute Effects Organic Antioxidant All - Natural and Organic Carnauba Wax * Floral Oil B / O Sodium C14 - 16 Oleic Acid Olive Oil Citric Acid / Stearic Acid Rosemary Extract Guar Gum & Aloe Vera Gel Pampering Gel Multi - Active PABA LEAFY MOISTURIZER General Active USG : 1 % One - Min",0.0,0.8149399161338806,"Abstracts Tylenol ® 1 % Tylenol 4 % Injection AH Aloe & Multi Protein Cleanser ( water, alcohol, [[wine]], preservative, fermentation and electrolytes ) Vinyl Boa. 44 DE ( CV / AHA / BHA, benzoyl peroxide / ethylhexyl laurate ; salt, gypsum ) Active with anti - aging review Quinine BP 4 % Five - Minute Effects Organic Antioxidant All - Natural and Organic Carnauba Wax * Floral Oil B / O Sodium C14 - 16 Oleic Acid Olive Oil Citric Acid / Stearic Acid Rosemary Extract Guar Gum & Aloe Vera Gel Pampering Gel Multi - Active PABA LEAFY MOISTURIZER General Active USG : 1 % One - Min",Successful
23,1.0,185.0,1.0,0.3978406190872192,"We've seen in the media and in at the polls, often in the 1990s, year 2000, when children's education was being eroded, we kept focussing on the protection of children under the Safe Schools Program which we all had issues with, let's not sing the praises of the Liberal government, but would have kept in place. "" Labor and Greens increase pressure on Turnbull Shadow Education Minister Chris Bowen [[said]] he was not surprised at the announcement. "" Malcolm Turnbull has repeatedly stated that school attendance is the greatest failing in New Zealand, so we have been wondering about why the Prime Minister did not include the subject in the diary of his G20'go around'to Japan, "" he said. "" He was not asked. It should be included but he will have to address the issue of insecurity of workplace based on gender identity in his speech. "" Greens education spokeswoman Liz Saville Roberts said it was a failure",0.0,0.6555748581886292,"We've seen in the media and in at the polls, often in the 1990s, year 2000, when children's education was being eroded, we kept focussing on the protection of children under the Safe Schools Program which we all had issues with, let's not sing the praises of the Liberal government, but would have kept in place. "" Labor and Greens increase pressure on Turnbull Shadow Education Minister Chris Bowen [[told]] he was not surprised at the announcement. "" Malcolm Turnbull has repeatedly stated that school attendance is the greatest failing in New Zealand, so we have been wondering about why the Prime Minister did not include the subject in the diary of his G20'go around'to Japan, "" he said. "" He was not asked. It should be included but he will have to address the issue of insecurity of workplace based on gender identity in his speech. "" Greens education spokeswoman Liz Saville Roberts said it was a failure",Successful
24,1.0,137.0,1.0,0.24299490451812744,"Introduction [[The]] IUPAC Reviewer Register ( FIR ) is the documentation that describes the following : The history of the IUPAC Recommendations. Includes all the inventors and financial grantees. [[IUPAC]] members countries. Includes all FRA countries. IUPAC contributor countries and all member countries. The IUPAC Standards Committee. It constitutes the solution for IUPAC member countries that do not have their own Standards Council. IUPAC processing, validation, and adjudication environment. It includes all IUPAC processes, including peer review, penalty - based resolution, prejudgment reviews and disputes, and filer reviews and auditing. Test Registry Requirements, including the 2008 and 2020 grades, and the "" objective requirements. "" Each of the IUPAC member countries has a separate rating system for their membership, and is currently marked by a TN - 20 - 1 in the IUP",0.0,0.5905821323394775,"Introduction [[this]] IUPAC Reviewer Register ( FIR ) is the documentation that describes the following : The history of the IUPAC Recommendations. Includes all the inventors and financial grantees. [[cis]] members countries. Includes all FRA countries. IUPAC contributor countries and all member countries. The IUPAC Standards Committee. It constitutes the solution for IUPAC member countries that do not have their own Standards Council. IUPAC processing, validation, and adjudication environment. It includes all IUPAC processes, including peer review, penalty - based resolution, prejudgment reviews and disputes, and filer reviews and auditing. Test Registry Requirements, including the 2008 and 2020 grades, and the "" objective requirements. "" Each of the IUPAC member countries has a separate rating system for their membership, and is currently marked by a TN - 20 - 1 in the IUP",Successful
28,1.0,121.0,1.0,0.4426766037940979,"TN : Shadowrun®, Shadowrun® Second Editions, Shadowrun Returns, Shadowrun Online, Shadowrun Paranoia, Shadowrun Core Rulebook, Shadowrun : [UNK], Shadowrun : [UNK], Shadowrun : [UNK], Shadowrun : Second [UNK], Shadowrun : [UNK], Shadows of the Social Network, Seattle, Run! ( [[RPG]] ), Serious Game Dark magic on Mars seems to have survived for centuries thanks to a charismatic benefactor of the El Dorado Commonwealth. New investors regularly check into the luxury complex he founded just out of view, making it much more attractive than the Sea Nymph. If you're looking for a Western science fiction setting? Here's a great new setting, check out DGREnderworld. If you're a fan of He - Man vs. The Machine? Here's a new Simulant Hero that's coming along way ahead of the rest of",0.0,0.5827519297599792,"TN : Shadowrun®, Shadowrun® Second Editions, Shadowrun Returns, Shadowrun Online, Shadowrun Paranoia, Shadowrun Core Rulebook, Shadowrun : [UNK], Shadowrun : [UNK], Shadowrun : [UNK], Shadowrun : Second [UNK], Shadowrun : [UNK], Shadows of the Social Network, Seattle, Run! ( [[[UNK]]] ), Serious Game Dark magic on Mars seems to have survived for centuries thanks to a charismatic benefactor of the El Dorado Commonwealth. New investors regularly check into the luxury complex he founded just out of view, making it much more attractive than the Sea Nymph. If you're looking for a Western science fiction setting? Here's a great new setting, check out DGREnderworld. If you're a fan of He - Man vs. The Machine? Here's a new Simulant Hero that's coming along way ahead of the rest of",Successful
32,1.0,360.0,1.0,0.0031180381774902344,"We want to respect the family. [[People]] have to make their own decisions about those funerals and [[say]],'[[What]] do I want for myself and my family?'You [[know]], not something that's going to be whispered down our throats when I'm [[dead]]. "" In a recent story, the Globe noted that the presence of "" certain elements of the veneer of information privacy law "" earlier in Black's life had given her mother [[cause]] to "" pretend she never had Black in the house. "" [[In]] addition to privacy issues, other [[decades]] - old concerns over Black's disposition remained after his death. There were these issues, [[according]] to Belk and Creano, that "" supervised mass invocations of death. "" [[As]] usual, many of them have been granted or waived and, though some protests are expected this coming Monday, those of us not [[yet]] mourning the death of this individual will be kept busy [[bringing]] them forth. A small",0.0,0.5309673547744751,"We want to respect the family. [[individuals]] have to make their own decisions about those funerals and [[therefore]],'[[it]] do I want for myself and my family?'You [[said]], not something that's going to be whispered down our throats when I'm [[killed]]. "" In a recent story, the Globe noted that the presence of "" certain elements of the veneer of information privacy law "" earlier in Black's life had given her mother [[right]] to "" pretend she never had Black in the house. "" [[in]] addition to privacy issues, other [[ages]] - old concerns over Black's disposition remained after his death. There were these issues, [[thanks]] to Belk and Creano, that "" supervised mass invocations of death. "" [[unlike]] usual, many of them have been granted or waived and, though some protests are expected this coming Monday, those of us not [[personally]] mourning the death of this individual will be kept busy [[dragging]] them forth. A small",Successful
34,1.0,219.0,1.0,0.10107141733169556,"[[After]] I was [[actually]] born, he said to my mother in which father's name my father's even had changed to [[include]] his wife's name as he was married. In the book and in many other scenes and especially in this one, post - it note by Luther that reads "" My name is Christ "" where he says on his deathbed at 11 : 23, "" I had no father. "" Everyone has plenty of material to go on with the cycle, so let's go here. 1. St. Stephen, Ephesians 1 : 1 – Stephen told about his sin and how he repented and asked God to forgive him, and of all sins he confessed that he was guilty of. He read a passage from the Psalms ( you know, like those that you pray every day? ) which said that the thing that God most loves is the simplicity of his heart, and that is all that I've",0.0,0.5628637075424194,"[[like]] I was [[once]] born, he said to my mother in which father's name my father's even had changed to [[like]] his wife's name as he was married. In the book and in many other scenes and especially in this one, post - it note by Luther that reads "" My name is Christ "" where he says on his deathbed at 11 : 23, "" I had no father. "" Everyone has plenty of material to go on with the cycle, so let's go here. 1. St. Stephen, Ephesians 1 : 1 – Stephen told about his sin and how he repented and asked God to forgive him, and of all sins he confessed that he was guilty of. He read a passage from the Psalms ( you know, like those that you pray every day? ) which said that the thing that God most loves is the simplicity of his heart, and that is all that I've",Successful
